title,type,tmdb_id,movie_runtime_minutes,episodes_total,total_seasons,episode_run_time,tv_minutes_total,rating_stars
Mars Attacks!,Movie,75.0,106.0,,,,,6.415
Marshall,Movie,392982.0,118.0,,,,,7.243
My Boss's Daughter,Movie,2830.0,83.0,,,,,5.0
Mystery Men,Movie,9824.0,121.0,,,,,5.8
Once Upon a Time in America,Movie,311.0,229.0,,,,,8.4
Open Season 2,Movie,13690.0,76.0,,,,,5.863
Osmosis Jones,Movie,12610.0,95.0,,,,,6.501
Poseidon,Movie,503.0,98.0,,,,,5.867
Rhyme & Reason,Movie,90928.0,90.0,,,,,7.0
Same Kind of Different as Me,Movie,300687.0,119.0,,,,,6.8
School of Rock,Movie,1584.0,110.0,,,,,7.082
Snervous Tyler Oakley,Movie,370416.0,82.0,,,,,5.067
Tears of the Sun,Movie,9567.0,121.0,,,,,6.889
The Blue Lagoon,Movie,5689.0,104.0,,,,,6.2
The Golden Child,Movie,10136.0,94.0,,,,,5.93
The Guns of Navarone,Movie,10911.0,160.0,,,,,7.3
The Interview,Movie,228967.0,112.0,,,,,6.19
The Nutty Professor,Movie,9327.0,95.0,,,,,5.643
The Nutty Professor II: The Klumps,Movie,12107.0,107.0,,,,,5.018
Welcome Home Roscoe Jenkins,Movie,13490.0,114.0,,,,,6.0
In the Line of Fire,Movie,9386.0,128.0,,,,,6.959
Untold: Crime & Penalties,Movie,857732.0,85.0,,,,,7.1
2 Alone in Paris,Movie,13741.0,94.0,,,,,5.1
Thimmarusu,Movie,86140.0,177.0,,,,,0.0
Wind River,Movie,395834.0,107.0,,,,,7.433
C Kkompany,Movie,20295.0,130.0,,,,,5.346
EMI: Liya Hai To Chukana Padega,Movie,15464.0,128.0,,,,,7.0
He's All That,Movie,522433.0,398.0,,,,,4.0
Koi Aap Sa,Movie,445685.0,142.0,,,,,7.2
Krishna Cottage,Movie,211105.0,124.0,,,,,5.028
Kucch To Hai,Movie,383404.0,142.0,,,,,4.2
Kyaa Kool Hai Hum,Movie,22429.0,172.0,,,,,4.859
Kyaa Kool Hain Hum 3,Movie,376884.0,124.0,,,,,2.767
Kyaa Super Kool Hain Hum,Movie,120101.0,137.0,,,,,4.75
Kyo Kii... Main Jhuth Nahin Bolta,Movie,166233.0,149.0,,,,,4.914
